street_number,sale_price,sqft,is_exactly_13,is_exactly_666,is_exactly_8,unlucky_score,city
9233,883000.0,1833,False,False,False,0.0,New York
4162,1086000.0,1679,False,False,False,10.0,New York
5828,1054000.0,4327,False,False,False,0.0,New York
7355,1089000.0,4934,False,False,False,0.0,New York
1577,1176000.0,3699,False,False,False,0.0,New York
5010,780000.0,1745,False,False,False,0.0,New York
5838,1188000.0,3376,False,False,False,0.0,New York
5562,1247000.0,1622,False,False,False,0.0,New York
10835,663000.0,4691,False,False,False,0.0,New York
192,974000.0,1505,False,False,False,0.0,New York
5631,1093000.0,4724,False,False,False,0.0,New York
827,965000.0,4129,False,False,False,0.0,New York
5921,875000.0,1044,False,False,False,0.0,New York
246,619000.0,4419,False,False,False,10.0,New York
9253,558000.0,3955,False,False,False,0.0,New York
1709,763000.0,4762,False,False,False,0.0,New York
4763,758000.0,1974,False,False,False,10.0,New York
6328,1140000.0,3633,False,False,False,0.0,New York
333,1012000.0,1312,False,False,False,0.0,New York
2576,591000.0,1146,False,False,False,0.0,New York
26912,834000.0,3904,False,False,False,0.0,New York
8987,1189000.0,2447,False,False,False,0.0,New York
7569,1131000.0,2686,False,False,False,0.0,New York
4673,1118000.0,1544,False,False,False,10.0,New York
512,1205000.0,4078,False,False,False,0.0,New York
73658,1085000.0,1579,False,False,False,0.0,New York
6524,1130000.0,4307,False,False,False,10.0,New York
611,1088000.0,1792,False,False,False,0.0,New York
6543,1231000.0,2419,False,False,False,10.0,New York
1807,874000.0,2945,False,False,False,0.0,New York
4535,773000.0,875,False,False,False,10.0,New York
1865,849000.0,2066,False,False,False,0.0,New York
179,552000.0,2784,False,False,False,0.0,New York
1708,796000.0,1954,False,False,False,0.0,New York
2015,802000.0,4256,False,False,False,0.0,New York
1317,793000.0,1522,False,False,False,20.0,New York
4335,697000.0,4414,False,False,False,10.0,New York
50,1226000.0,4480,False,False,False,0.0,New York
6620,1035000.0,3115,False,False,False,0.0,New York
4849,877000.0,4877,False,False,False,20.0,New York
457,691000.0,4572,False,False,False,10.0,New York
3019,1024000.0,4428,False,False,False,0.0,New York
8051,1242000.0,3499,False,False,False,0.0,New York
1053,877000.0,2986,False,False,False,0.0,New York
6630,1155000.0,2219,False,False,False,0.0,New York
2859,1165000.0,3317,False,False,False,0.0,New York
1200,736000.0,1791,False,False,False,0.0,New York
9103,1023000.0,3148,False,False,False,0.0,New York
2258,733000.0,3792,False,False,False,0.0,New York
1512,1071000.0,1750,False,False,False,0.0,New York
1715,821000.0,3418,False,False,False,0.0,New York
9681,914000.0,4172,False,False,False,0.0,New York
5148,796000.0,5000,False,False,False,10.0,New York
3639,862000.0,3751,False,False,False,0.0,New York
8255,679000.0,3628,False,False,False,0.0,New York
4627,904000.0,4036,False,False,False,10.0,New York
9666,969000.0,3525,False,False,False,40.0,New York
5401,769000.0,3162,False,False,False,10.0,New York
5063,1088000.0,3904,False,False,False,0.0,New York
6768,697000.0,2690,False,False,False,0.0,New York
16069,628000.0,1551,False,False,False,0.0,New York
4450,575000.0,4791,False,False,False,20.0,New York
8605,1247000.0,2971,False,False,False,0.0,New York
7054,1178000.0,4250,False,False,False,10.0,New York
5689,784000.0,2489,False,False,False,0.0,New York
4489,779000.0,3354,False,False,False,20.0,New York
6622,816000.0,2670,False,False,False,0.0,New York
2393,909000.0,970,False,False,False,0.0,New York
5203,912000.0,4416,False,False,False,0.0,New York
1616,1034000.0,1225,False,False,False,0.0,New York
6852,1207000.0,3955,False,False,False,0.0,New York
1111,948000.0,4514,False,False,False,0.0,New York
4654,1218000.0,3962,False,False,False,20.0,New York
8962,609000.0,836,False,False,False,0.0,New York
8285,632000.0,2533,False,False,False,0.0,New York
9092,1058000.0,2877,False,False,False,0.0,New York
583,924000.0,1340,False,False,False,0.0,New York
1448,944000.0,1781,False,False,False,20.0,New York
10340,1200000.0,2245,False,False,False,10.0,New York
3656,1055000.0,3477,False,False,False,0.0,New York
3308,1120000.0,2008,False,False,False,0.0,New York
163,590000.0,2802,False,False,False,0.0,New York
9549,733000.0,3022,False,False,False,10.0,New York
3352,1104000.0,4557,False,False,False,0.0,New York
30161,728000.0,3163,False,False,False,0.0,New York
8119,615000.0,2981,False,False,False,0.0,New York
2380,1202000.0,1117,False,False,False,0.0,New York
878,1198000.0,4102,False,False,False,0.0,New York
2853,676000.0,3130,False,False,False,0.0,New York
8835,624000.0,4518,False,False,False,0.0,New York
7029,593000.0,1407,False,False,False,0.0,New York
3619,922000.0,3021,False,False,False,0.0,New York
8061,1070000.0,3289,False,False,False,0.0,New York
9446,1040000.0,1143,False,False,False,20.0,New York
3797,1171000.0,2656,False,False,False,0.0,New York
9315,665000.0,2629,False,False,False,0.0,New York
