storyline_id,storyline_type,participants,n_participants,duration_weeks,character_quality_x,plot_quality_x,promo_quality_x,booking_quality,narrative_quality_yu,star_power_x,engagement,year,narrative_quality_yu_enhanced,character_quality_y,star_power_y,character_complexity,character_authenticity,ensemble_size,arc_length,booking_patience,plot_quality_y,archetype_quality,conflict_intensity,narrative_stakes,promo_quality_y,verbal_charisma,emotional_delivery,mic_skills,historical_callback,meta_awareness,kayfabe_breaking
STORY_0001,david_vs_goliath,"Sasha Banks, The Rock, Bret Hart",3,16,0.89,0.9857777222055224,0.6860024859874686,0.0444444444444444,0.7463115944155411,0.89,3896857,2016,0.7444592844352416,0.89,0.89,0.8968886375669121,0.7914971921324429,0.6,0.4444444444444444,0.35555555555555557,0.9857777222055224,0.88,0.9491429324071881,1.0,0.6860024859874686,0.7417912647518053,0.6679588564679383,0.713896875369637,0.36487342664745315,0.6886690430333914,0.2577611941292397
STORY_0002,redemption_arc,"Kenny Omega, Cody Rhodes, Hulk Hogan, Daniel Bryan, Roman Reigns",5,8,0.892,0.6975637061886721,0.7105008606525081,0.0222222222222222,0.676624432011003,0.892,4638783,2017,0.7355704064529905,0.892,0.892,0.980446663991856,0.8585692082514734,1.0,0.2222222222222222,0.17777777777777778,0.6975637061886721,0.9,0.6620693988985744,0.7673200768075394,0.7105008606525081,0.7241509729267299,0.7173253868633872,0.717325916789619,0.5851411392591432,0.7374937858823605,0.2185391997608748
STORY_0003,championship_chase,"Cody Rhodes, John Cena",2,4,0.87,0.7424079385547939,0.7326831800003258,0.0111111111111111,0.6818052873054304,0.87,4496641,2018,0.7144208361809845,0.87,0.87,0.8500459157625904,0.7907399885206583,0.4,0.1111111111111111,0.08888888888888889,0.7424079385547939,0.82,0.6922438130572472,0.8166487324102734,0.7326831800003258,0.7218111641933123,0.7438296067014656,0.727247172096819,0.7893779365530722,0.627776110156522,0.23846248922531402
STORY_0004,revenge,"The Rock, John Cena, CM Punk",3,8,0.9166666666666666,0.6911000758348315,0.8817106320070857,0.0222222222222222,0.7191171453601249,0.9166666666666666,2849083,2019,0.7477355424741069,0.9166666666666666,0.9166666666666666,0.9349047934930139,0.8359684989664397,0.6,0.2222222222222222,0.17777777777777778,0.6911000758348315,0.75,0.6800456314066963,0.7602100834183146,0.8817106320070857,0.8065720418884789,0.9183709389424041,0.8441413369477823,0.4808242593678304,0.7045232482564318,0.38038170834501617
STORY_0005,revenge,"Becky Lynch, Sasha Banks",2,4,0.89,0.6221004396874198,0.7670957590431806,0.0111111111111111,0.6666109283971577,0.89,3501268,2020,0.7163238491637505,0.89,0.89,0.8670774440853343,0.7861035335898808,0.4,0.1111111111111111,0.08888888888888889,0.6221004396874198,0.75,0.583869901742231,0.6843104836561619,0.7670957590431806,0.718333398309986,0.7311606413558928,0.7427145786765833,0.6716918438341208,0.849978793427823,0.5865443911496674
STORY_0006,david_vs_goliath,"Sasha Banks, Hulk Hogan",2,12,0.885,0.8385637932102786,0.7499314009936398,0.0333333333333333,0.7186272285012977,0.885,4111059,2021,0.737261761911063,0.885,0.885,0.893901139227769,0.8303082092304607,0.4,0.3333333333333333,0.26666666666666666,0.8385637932102786,0.88,0.7932846608594358,0.9224201725313066,0.7499314009936398,0.7464929391174462,0.6877778050204768,0.748212170055543,0.43424007123621156,0.6667563260453464,0.5409260856616379
STORY_0007,redemption_arc,"Kenny Omega, The Undertaker",2,4,0.8999999999999999,0.8775731308242732,0.7066632773591146,0.0111111111111111,0.7223926048445579,0.8999999999999999,2503676,2022,0.740387263435986,0.8999999999999999,0.8999999999999999,0.8171237973074443,0.8040519874402854,0.4,0.1111111111111111,0.08888888888888889,0.8775731308242732,0.9,0.8732865270151956,0.9653304439067006,0.7066632773591146,0.7762888813073417,0.657741477928229,0.7414760793332282,0.7817301496543494,0.6710662715137656,0.3864387746959901
STORY_0008,faction_warfare,"CM Punk, Bret Hart",2,24,0.87,0.6899558853839577,0.7785494205722785,0.0666666666666666,0.6861988554604452,0.87,3398715,2023,0.7477358645718255,0.87,0.87,0.8101406216039818,0.759426311798741,0.4,0.6666666666666666,0.5333333333333333,0.6899558853839577,0.78,0.5957794074346578,0.7589514739223535,0.7785494205722785,0.7078926865770363,0.8044924056285009,0.7432210535746574,0.6486717678690475,0.7559020552074851,0.15940940289205133
STORY_0009,faction_warfare,"The Undertaker, Daniel Bryan, The Rock",3,24,0.95,0.9377464772656886,0.8181559956328261,0.0666666666666666,0.7880678184429875,0.95,3500803,2016,0.8029516567876992,0.95,0.95,0.9616619347425455,0.8111468931939737,0.6,0.6666666666666666,0.5333333333333333,0.9377464772656886,0.78,0.916774423843538,1.0,0.8181559956328261,0.8828506780070492,0.7219915868073348,0.8505033368199377,0.4139798900635706,0.6417130915876523,0.4717323352428382
STORY_0010,authority_figure,"Cody Rhodes, Daniel Bryan, Seth Rollins, Hulk Hogan",4,4,0.89,0.7216065936765413,0.8205939191866649,0.0111111111111111,0.7021870989231351,0.89,2730374,2017,0.7159752196216776,0.89,0.89,0.9243403106165382,0.883915178543876,0.8,0.1111111111111111,0.08888888888888889,0.7216065936765413,0.65,0.6268728085928783,0.7937672530441955,0.8205939191866649,0.8201262543796698,0.8345709429967676,0.8203600867831673,0.4436118594742257,0.6158032291324891,0.15132308695841437
